22/04/2019 16:20:55 DEBUG [Thread-1  ] ExecutorTarefa                                     run                            - Iniciando produto: CTAS_DESMAT .
22/04/2019 16:20:56 INFO  [Thread-1  ] Produto                                            executar                       - Filtrando lotes
22/04/2019 16:20:56 INFO  [Thread-1  ] Produto                                            executar                       - Encontrados: 0 lotes com cartao de assinatura.
22/04/2019 16:20:56 INFO  [Thread-1  ] Produto                                            executar                       - Encontrados: 0 lotes sem cartao de assinatura.
22/04/2019 16:20:56 INFO  [Thread-1  ] Produto                                            executar                       - Encontrados: 0 lotes com problema de leitura.
22/04/2019 16:20:56 INFO  [Thread-1  ] Produto                                            executar                       - Nao ha lote(s)! Aguardando...
22/04/2019 16:21:56 INFO  [Thread-1  ] Produto                                            executar                       - Filtrando lotes
22/04/2019 16:21:57 INFO  [Thread-1  ] Produto                                            executar                       - Encontrados: 21 lotes com cartao de assinatura.
22/04/2019 16:21:57 INFO  [Thread-1  ] Produto                                            executar                       - Encontrados: 0 lotes sem cartao de assinatura.
22/04/2019 16:21:57 INFO  [Thread-1  ] Produto                                            executar                       - Encontrados: 0 lotes com problema de leitura.
22/04/2019 16:21:57 INFO  [Thread-1  ] Configuracao                                       deletaArquivosTemp             - Deletando arquivos temporarios!
22/04/2019 16:21:58 INFO  [Thread-1  ] Produto                                            executar                       - Processando zip: ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (10).zip .
22/04/2019 16:21:58 INFO  [Thread-1  ] Produto                                            executar                       - Criando arquivo RAST.
22/04/2019 16:21:58 INFO  [Thread-1  ] Produto                                            executar                       - 2 csvs de assinatura encontrado(s) iniciando inclusao no EBCDIC.
22/04/2019 16:22:09 DEBUG [Thread-1  ] CriptUtil                                          load                           - DLL nao carregada, iniciar Load.
22/04/2019 16:22:10 DEBUG [Thread-1  ] CriptUtil                                          load                           - DLL carregada!
22/04/2019 16:22:10 INFO  [Thread-1  ] Produto                                            executar                       - Cartao do csv: C:\ICC_GCC\ACTAS_DESMAT\IMAG\TEMPORARIO\ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (10)\C_ACTA06CONTDES_M_97_0115-000-E070_2019031314483800801_01.CSV inserido com sucesso!
22/04/2019 16:22:10 DEBUG [Thread-1  ] Produto                                            executar                       - Rastreabilidade no servico imag igual: true .
22/04/2019 16:22:11 INFO  [Thread-1  ] Produto                                            executar                       - Arquivo RAST criado com sucesso!
22/04/2019 16:22:11 INFO  [Thread-1  ] Produto                                            executar                       - Aquivo ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (10).zip foi processado
22/04/2019 16:22:11 INFO  [Thread-1  ] Produto                                            executar                       - Finalizando EBCDIC.
22/04/2019 16:22:11 INFO  [Thread-1  ] Configuracao                                       salvarEbcdic                   - Criando o arquivo IMAG_CTAS_DESMAT_22042019_162211742.txt
22/04/2019 16:22:11 INFO  [Thread-1  ] Produto                                            executar                       - EBCDIC Criado com sucesso!
22/04/2019 16:22:11 INFO  [Thread-1  ] Produto                                            executar                       - Movendo Zip para pasta de destino.
22/04/2019 16:22:11 INFO  [Thread-1  ] Produto                                            executar                       - Zip movido com sucesso!
22/04/2019 16:22:13 INFO  [Thread-1  ] Produto                                            executar                       - Processando zip: ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (11).zip .
22/04/2019 16:22:13 INFO  [Thread-1  ] Produto                                            executar                       - Criando arquivo RAST.
22/04/2019 16:22:13 INFO  [Thread-1  ] Produto                                            executar                       - 2 csvs de assinatura encontrado(s) iniciando inclusao no EBCDIC.
22/04/2019 16:22:14 INFO  [Thread-1  ] Produto                                            executar                       - Cartao do csv: C:\ICC_GCC\ACTAS_DESMAT\IMAG\TEMPORARIO\ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (11)\C_ACTA06CONTDES_M_97_0115-000-E070_2019031314483800801_01.CSV inserido com sucesso!
22/04/2019 16:22:14 DEBUG [Thread-1  ] Produto                                            executar                       - Rastreabilidade no servico imag igual: true .
22/04/2019 16:22:15 INFO  [Thread-1  ] Produto                                            executar                       - Arquivo RAST criado com sucesso!
22/04/2019 16:22:15 INFO  [Thread-1  ] Produto                                            executar                       - Aquivo ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (11).zip foi processado
22/04/2019 16:22:15 INFO  [Thread-1  ] Produto                                            executar                       - Finalizando EBCDIC.
22/04/2019 16:22:15 INFO  [Thread-1  ] Configuracao                                       salvarEbcdic                   - Criando o arquivo IMAG_CTAS_DESMAT_22042019_162215464.txt
22/04/2019 16:22:15 INFO  [Thread-1  ] Produto                                            executar                       - EBCDIC Criado com sucesso!
22/04/2019 16:22:15 INFO  [Thread-1  ] Produto                                            executar                       - Movendo Zip para pasta de destino.
22/04/2019 16:22:15 INFO  [Thread-1  ] Produto                                            executar                       - Zip movido com sucesso!
22/04/2019 16:22:17 INFO  [Thread-1  ] Produto                                            executar                       - Processando zip: ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (12).zip .
22/04/2019 16:22:17 INFO  [Thread-1  ] Produto                                            executar                       - Criando arquivo RAST.
22/04/2019 16:22:17 INFO  [Thread-1  ] Produto                                            executar                       - 2 csvs de assinatura encontrado(s) iniciando inclusao no EBCDIC.
22/04/2019 16:22:18 INFO  [Thread-1  ] Produto                                            executar                       - Cartao do csv: C:\ICC_GCC\ACTAS_DESMAT\IMAG\TEMPORARIO\ACTA06CONTDES_0115-000-E070_2019031314483800803_01 - Copia (12)\C_ACTA06CONTDES_M_97_0115-000-E070_2019031314483800801_01.CSV inserido com sucesso!
22/04/2019 16:22:18 DEBUG [Thread-1  ] Produto                                            executar                       - Rastreabilidade no servico imag igual: true .
